Sigla da Unidade da Federação,Ano,Produto Interno Bruto,População,PIB per capita
RN,2018,66969562002.0,3479009.9364113477,19249.603544127884
RN,2019,71336780166.0,3506852.9582929425,20342.10758603496
RN,2020,71577106819.0,3534165.0424101814,20252.90442298836
RO,1999,5023344441.000002,1418602.0,3541.0526990657013
RO,2000,5624964108.000001,1446851.0,3887.7286659096208
RO,2001,6082841499.0,1475275.0,4123.191607666367
RO,2002,7467629886.0,1450754.9581206776,5147.409522331492
RO,2003,9425010486.0,1478663.7989575653,6374.00502578374
RO,2004,11004641436.0,1562084.9287382576,7044.8419503597515
RO,2005,12511821181.0,1534593.990092169,8153.1800996096235
RO,2006,13054713344.0,1562417.218827647,8355.459211973834
RO,2007,14438376499.0,1453755.9832908076,9931.7744277251
RO,2008,17285541726.0,1493565.9206569581,11573.33699633211
RO,2009,19725009504.0,1503927.9013448888,13115.661652637
RO,2010,23907886882.0,1560500.9820803546,15320.648404929307
RO,2011,27574714379.0,1576455.042529979,17491.59578616757
RO,2012,30112720320.0,1590011.0172888578,18938.686583031023
RO,2013,31121412531.0,1728213.8694042163,18007.84791857317
RO,2014,34030981973.0,1748530.9814788776,19462.613092630007
RO,2015,36563332700.0,1768204.0150311706,20678.231917347755
RO,2016,39460358978.0,1787279.0114546716,22078.45486076799
RO,2017,43516147492.0,1805787.9981437658,24098.148584845956
RO,2018,44913978486.0,1757588.9993276459,25554.31247190415
RO,2019,47091335805.0,1777224.9924304038,26497.115449969737
RO,2020,51598741456.0,1796460.04513782,28722.454248650694
RR,1999,817192293.0000002,321722.0,2540.057232641847
RR,2000,1116580641.0,333568.0,3347.3853637039524
RR,2001,1218984160.9999998,345487.0,3528.306885642585
RR,2002,2392032671.0,355074.9574205948,6736.697762006854
RR,2003,2594080871.0,367139.9462386107,7065.64594121845
RR,2004,2822756978.0,381895.89268047025,7391.430575981036
RR,2005,3193430415.0,391317.10539565363,8160.722776918174
RR,2006,3802452111.0,403343.9818847509,9427.31832326307
RR,2007,4203302125.0,395725.0074623897,10621.775338268173
RR,2008,4841862423.0,412783.0823646827,11729.798603331194
RR,2009,5671974582.0,421499.02632203023,13456.673035506717
RR,2010,6639150477.0,451226.99508576485,14713.548943892629
